#,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Domain,Competency
88,Which core principle differentiates GitOps from general Infrastructure as Code (IaC)?,Using code for infra config,Automating infrastructure tests,Using Git as the source of truth,Manual deployment approval,,C,"While IaC uses code, GitOps specifically mandates Git as the declarative source of truth and uses agents to enforce that state.",Cloud Native Application Delivery,GitOps
89,"What does ""CI"" stand for in the context of application delivery?",Continuous Integration,Cluster Infrastructure,Container Interface,Cloud Instance,,A,"Continuous Integration involves frequently merging code changes into a central repository, followed by automated builds and tests.",Cloud Native Application Delivery,CI/CD
90,"What does ""CD"" stand for in CI/CD?",Container Deployment,Continuous Delivery/Deployment,Cluster Discovery,Centralized Dashboard,,B,"Continuous Delivery ensures code changes can be released quickly, while Continuous Deployment automatically deploys them to production.",Cloud Native Application Delivery,CI/CD
91,Which stage in a typical CI/CD pipeline for Kubernetes usually involves creating a container image?,Testing,Building,Deployment,Monitoring,,B,"The build stage compiles code (if necessary) and packages the application and its dependencies into a container image (e.g., Docker).",Cloud Native Application Delivery,CI/CD
92,"Which tool is commonly used in CI/CD pipelines to automate the build, test, and deployment processes?",Kubernetes,Docker,Jenkins / GitLab CI / GitHub Actions,Prometheus,,C,"Tools like Jenkins, GitLab CI, GitHub Actions, Argo CD, Flux etc., orchestrate the steps within a CI/CD pipeline.",Cloud Native Application Delivery,CI/CD
93,What is the primary goal of Application Delivery in a cloud native context?,To secure the cluster,To monitor resource usage,To reliably deploy & manage apps,To provision infrastructure,,C,Application delivery focuses on the processes and tools used to get applications running reliably and efficiently in the environment.,Cloud Native Application Delivery,Application Delivery Fundamentals
94,"In Kubernetes RBAC (Role-Based Access Control), what defines a set of permissions?",Role / ClusterRole,ServiceAccount,RoleBinding / ClusterRoleBinding,User,,A,A Role (namespace-scoped) or ClusterRole (cluster-scoped) contains rules that represent a set of permissions on resources.,Container Orchestration,Security
95,"What object binds a Role or ClusterRole to a user, group, or ServiceAccount?",Secret,ConfigMap,NetworkPolicy,RoleBinding / ClusterRoleBinding,,D,A RoleBinding (namespace-scoped) or ClusterRoleBinding (cluster-scoped) grants the permissions defined in a Role/ClusterRole to subjects.,Container Orchestration,Security
96,"If you need a Pod to run on every single Node in the cluster (or a subset), which controller is most suitable?",Deployment,StatefulSet,DaemonSet,Job,,C,"DaemonSets ensure that all (or some) Nodes run a copy of a Pod, useful for cluster services like log collectors or node monitors.",Kubernetes Fundamentals,Kubernetes Resources
97,What is a primary difference between a Deployment and a StatefulSet?,StatefulSets manage Pods,Deployments are for databases,StatefulSets provide stable IDs,Deployments use PVs,,C,"StatefulSets provide guarantees about the ordering and uniqueness of Pods, including stable network identifiers and persistent storage.",Kubernetes Fundamentals,Kubernetes Resources
98,"Which Kubernetes API object is used to manage external access to services in a cluster, typically HTTP/S?",Service (LoadBalancer type),NodePort Service,Ingress,ExternalName Service,,C,Ingress provides HTTP/S routing rules to manage external users' access to services within the cluster based on hostnames or paths.,Container Orchestration,Networking
99,What design pattern involves running an additional container within a Pod to provide auxiliary functions (like logging or monitoring) to the main application container?,Init Container,Sidecar Container,Ephemeral Container,Job Container,,B,The Sidecar pattern adds helper containers alongside the main application container within the same Pod network/storage namespace.,Kubernetes Fundamentals,Containers
100,What fundamental concept allows Kubernetes to maintain the desired state declared by the user?,Imperative Commands,Control Loop / Reconciliation,Manual Scaling,Direct Node Access,,B,"Kubernetes controllers operate on control loops, constantly comparing the desired state (from API objects) with the actual cluster state.",Kubernetes Fundamentals,Kubernetes Architecture
101,"Which component of the Kubernetes control plane is responsible for authenticating and authorizing API requests?",kube-scheduler,kube-apiserver,etcd,controller-manager,kubelet,B,"The `kube-apiserver` handles authentication (who is making the request) and authorization (what are they allowed to do) for all incoming API requests.",Kubernetes Fundamentals,Kubernetes API
102,"What is the primary difference between a `Service` and an `Ingress` in Kubernetes?",A Service provides external access, while Ingress is for internal access.A Service provides layer 4 (TCP/UDP) load balancing, while Ingress provides layer 7 (HTTP/S) routing.A Service is for stateful applications, Ingress for stateless.A Service uses DNS, Ingress uses IP addresses.A Service is managed by the control plane, Ingress by worker nodes.,B,"Services provide network abstraction and load balancing primarily at layer 4. Ingress resources provide HTTP/S routing rules for external access, typically at layer 7, and require an Ingress Controller.",Kubernetes Fundamentals,Kubernetes Resources
103,"How does a `PodDisruptionBudget` (PDB) interact with the `kube-scheduler` during a voluntary disruption?",It prevents the scheduler from ever moving Pods.,It tells the scheduler to ignore the Pods of a specific application.,It informs the scheduler about the minimum number of available Pods required for an application during disruptions.,It forces the scheduler to always place Pods on specific Nodes.,It only affects manual Pod deletions, not automated ones.,C,"PDBs are respected by cluster operations like `kubectl drain` and some cluster autoscalers. They prevent voluntary evictions if doing so would violate the budget, indirectly influencing how the scheduler might react to node pressure.",Container Orchestration,Availability
104,"What is the primary use case for `Kubernetes Operators`?",To replace the need for the kube-apiserver.,To extend Kubernetes' capabilities by automating the management of complex stateful applications.,To manage multiple Kubernetes clusters from a single console.,To provide a GUI for Kubernetes resource creation.,To schedule Pods with specific hardware requirements.,B,"Operators are application-specific controllers that extend the Kubernetes API to automate the lifecycle of complex applications (especially stateful ones) by encapsulating operational knowledge.",Cloud Native Architecture,Kubernetes Operators
105,"What is the core idea behind the ""Chaos Engineering"" principle in cloud native systems?",To introduce controlled failures into a system to identify weaknesses and build resilience.,To randomly restart production applications.,To ignore all system alerts and logs.,To only test applications in development environments.,To manually fix system outages after they occur.,A,"Chaos Engineering is the discipline of experimenting on a system in order to build confidence in that system's capability to withstand turbulent conditions in production.",Cloud Native Observability,Resilience
106,"Which Kubernetes resource is used to run a command or script to completion at a specific scheduled time?",Job,CronJob,Deployment,StatefulSet,DaemonSet,B,"A `CronJob` creates Jobs on a repeating schedule. It's ideal for scheduled tasks like backups, reporting, or health checks.",Kubernetes Fundamentals,Kubernetes Resources
107,"What is the primary role of a `Mutating Admission Webhook` in Kubernetes?",To prevent unauthorized access to the API server.,To modify the configuration of API objects before they are stored in etcd.,To validate container images against security policies.,To schedule Pods onto specific Nodes.,To encrypt communication between Pods.,B,"Mutating Admission Webhooks can change Kubernetes API objects before they are persisted, allowing for automatic injection of sidecars, setting default values, or adding labels/annotations.",Container Orchestration,Security
108,"When would you typically use `Service Account Token Volume Projection` in Kubernetes?",To provide storage for large application data.,To inject a ServiceAccount's JWT token into a Pod for fine-grained permissions to the Kubernetes API.,To secure network communication between Services.,To store configuration data for a Pod.,To manage TLS certificates for Ingress.,B,"Service Account Token Volume Projection allows short-lived, audience-bound, and expiring JWT tokens to be mounted into Pods, enhancing security by limiting the scope and lifetime of credentials used to interact with the API server.",Container Orchestration,Security
109,"What is the key security implication of using `Read-Only Root Filesystems` for containers in Kubernetes?",It allows containers to write arbitrary data to the host filesystem.,It reduces the attack surface by preventing applications from writing to critical system directories.,It improves container startup time significantly.,It simplifies persistent storage configuration.,It allows dynamic scaling of container storage.,B,"A read-only root filesystem for a container prevents applications from writing to the container's main filesystem, enhancing security by making it harder for attackers to inject malicious code or modify existing binaries.",Container Orchestration,Security
110,"Which Kubernetes security best practice involves ensuring that Pods do not run as the `root` user within the container?",Least Privilege,Network Segmentation,Runtime Security,Immutable Infrastructure,Pod Security Context `runAsNonRoot`,E,"Setting `runAsNonRoot: true` in a Pod's SecurityContext ensures that the container will run as a non-root user, significantly reducing the potential impact if the container is compromised.",Container Orchestration,Security
111,"What is the primary function of `kube-state-metrics` in a Prometheus-based monitoring setup for Kubernetes?",To scrape application-specific metrics from Pods.,To expose metrics about the state of Kubernetes objects (e.g., number of running Pods, PVC status).,To collect logs from Kubernetes components.,To send alerts to notification channels.,To visualize cluster topology.,B,"`kube-state-metrics` is an add-on that listens to the Kubernetes API and generates metrics about the state of Kubernetes objects (Deployments, Pods, Nodes, PVCs, etc.) that Prometheus can then scrape.",Cloud Native Observability,Prometheus
112,"What is the purpose of `Pod Preset` (now deprecated) in Kubernetes?",To define default resource requests/limits for Pods.,To inject common environment variables, volumes, or secrets into Pods based on selectors.,To schedule Pods on specific nodes.,To manage network policies for Pods.,To provide a stable IP address for services.,B,"Pod Presets were used to inject common configurations into Pods, but this functionality is now largely covered by mutating admission webhooks or declarative templating tools.",Kubernetes Fundamentals,Kubernetes Resources
113,"What does `kubectl drain <node-name>` primarily do?",It schedules new Pods onto the specified node.,It removes all existing Pods from the specified node gracefully.,It restarts the kubelet on the specified node.,It upgrades the Kubernetes version on the specified node.,It adds labels to the specified node.,B,"`kubectl drain` marks a Node as unschedulable and then cordons off the Node (prevents new Pods from being scheduled) and then evicts all existing Pods from it, allowing for maintenance or removal.",Kubernetes Fundamentals,Node Management
114,"What is a key difference between `ConfigMap` and `Secret` usage for configuration management?",ConfigMaps are for sensitive data, Secrets for non-sensitive.,Secrets are always mounted as files, ConfigMaps only as environment variables.,Secrets are encrypted at rest by default (with proper etcd setup), ConfigMaps are not.,ConfigMaps can only be used by one Pod, Secrets by many.,ConfigMaps require a Service Account, Secrets do not.,C,"Secrets are designed for sensitive data and are typically encrypted at rest if etcd is configured with encryption. ConfigMaps are for non-sensitive data and are stored unencrypted.",Kubernetes Fundamentals,Kubernetes Resources
115,"Which Kubernetes API object is used to define the desired state for a rolling update of an application, ensuring zero downtime?",ReplicaSet,StatefulSet,DaemonSet,Deployment,Job,D,"A Deployment provides declarative updates for Pods and ReplicaSets, allowing for controlled rolling updates with specified update strategies (e.g., `RollingUpdate` with `maxUnavailable` and `maxSurge`).",Kubernetes Fundamentals,Kubernetes Resources
116,"What is the primary role of a `Network Policy Controller` in a Kubernetes cluster?",To manage the cluster's external IP addresses.,To enforce the rules defined in `NetworkPolicy` objects.,To provide DNS resolution for services.,To encrypt traffic between control plane components.,To monitor node network interfaces.,B,"A Network Policy Controller (implemented by network plugins like Calico, Cilium, Weave Net) watches `NetworkPolicy` objects and configures the underlying network to enforce those rules.",Container Orchestration,Networking
117,"What is `mTLS` (mutual TLS) in the context of a Service Mesh?",A way to encrypt data at rest in storage volumes.,A method for authenticating users to the Kubernetes API.,A security mechanism where both the client and server authenticate each other using TLS certificates.,A type of network load balancing algorithm.,A feature for automatically scaling Pods.,C,"mTLS in a service mesh means that all service-to-service communication is encrypted and both the calling and receiving services verify each other's identity using cryptographic certificates.",Container Orchestration,Security
118,"What is the key benefit of `Blue/Green Deployments` in a CI/CD pipeline?",It allows for rapid rollback by simply switching traffic back to the old version.,It reduces the need for testing in production.,It eliminates downtime completely during deployments.,It simplifies the process of building container images.,It reduces infrastructure costs by running fewer replicas.,A,"Blue/Green deployments involve running two identical environments (""blue"" and ""green"") and switching traffic between them. This allows for instant rollback by simply rerouting traffic if issues arise with the new ""green"" version.",Cloud Native Application Delivery,Application Delivery Strategies
119,"What is the primary purpose of a `canary deployment`?",To roll out a new version of an application to a small subset of users first, monitoring for issues before a full rollout.,To deploy a new version to all users simultaneously.,To completely replace an old version with a new one without running both concurrently.,To test application performance under extreme load.,To ensure all Pods are running on a single node.,A,"Canary deployments gradually shift a small percentage of user traffic to a new version, allowing for real-world testing and early detection of issues before affecting all users.",Cloud Native Application Delivery,Application Delivery Strategies
120,"Which pattern involves injecting a specialized container into a Pod to provide common functionalities like logging, metrics collection, or traffic management?",Sidecar Pattern,Adapter Pattern,Ambassador Pattern,Decorator Pattern,Proxy Pattern,A,"The sidecar pattern involves running a secondary container alongside the primary application container in the same Pod, sharing resources and providing auxiliary functionalities.",Cloud Native Architecture,Design Patterns
121,"What is the main challenge `Horizontal Pod Autoscaler` (HPA) addresses compared to manually scaling a Deployment?",Optimizing resource requests and limits for Pods.,Automatically adjusting the number of Pod replicas based on observed metrics.,Determining the optimal number of Nodes in the cluster.,Providing stable network identities for Pods.,Managing persistent storage for stateful applications.,B,"HPA automatically scales the number of Pods in a Deployment or StatefulSet up or down based on metrics like CPU utilization, memory usage, or custom application metrics.",Cloud Native Architecture,Autoscaling
122,"What is the purpose of `kubeconfig` files?",To store container images locally.,To configure the Kubernetes control plane components.,To define network policies for Pods.,To store credentials and cluster information for `kubectl` to connect to a cluster.,To manage persistent volumes.,D,"A `kubeconfig` file contains configuration information that `kubectl` (and other clients) use to connect to a Kubernetes cluster, including cluster details, user credentials, and contexts.",Kubernetes Fundamentals,Kubernetes API
123,"What is the primary benefit of using `Helm` in the Kubernetes ecosystem?",It provides a container runtime for Pods.,It simplifies the packaging, sharing, and deployment of Kubernetes applications.,It manages Node-level security policies.,It performs automatic backups of etcd data.,It provides a graphical user interface for cluster management.,B,"Helm is a package manager for Kubernetes. It allows users to define, install, and upgrade complex Kubernetes applications using 'charts', which are packages of pre-configured Kubernetes resources.",Cloud Native Application Delivery,Packaging
124,"Which type of metric is best suited for tracking the number of errors that have occurred since an application started?",Gauge,Counter,Histogram,Summary,Timestamp,B,"A Counter is a cumulative metric that only ever increases or is reset to zero. It's ideal for tracking counts of events like errors, requests served, or tasks completed.",Cloud Native Observability,Prometheus
125,"What is the primary role of a `Service Discovery` mechanism in a microservices architecture?",To provide a central database for all microservice data.,To enable microservices to find and communicate with each other dynamically.,To manage user authentication for microservices.,To automate the deployment of microservices.,To monitor the performance of microservices.,B,"Service discovery allows microservices to find the network location of other services they need to communicate with, without hardcoding IP addresses, which is crucial in dynamic cloud environments.",Container Orchestration,Service Mesh
126,"What is the primary security concern when exposing the Kubernetes API server directly to the internet without proper authentication and authorization?",DDoS attacks on worker nodes.,Unauthorized access to cluster resources and data.,Increased network latency for internal services.,Difficulty in debugging Pods.,Inability to scale applications.,B,"Exposing the API server without robust security controls can lead to unauthorized users gaining administrative access to the cluster, potentially allowing them to deploy malicious workloads, steal data, or disrupt operations.",Container Orchestration,Security
127,"Which Kubernetes feature helps to manage resource consumption and prevent noisy neighbor issues in multi-tenant clusters by setting limits on total CPU/memory per Namespace?",LimitRange,ResourceQuota,PodDisruptionBudget,PriorityClass,NetworkPolicy,B,"`ResourceQuota` objects are used to limit the total amount of resources (CPU, memory, storage) that can be consumed by objects within a Namespace, preventing one team or application from consuming all available resources.",Kubernetes Fundamentals,Resource Management
128,"What is the primary challenge that `Container Image Scanning` aims to address in the CI/CD pipeline?",Ensuring applications are always running.,Detecting vulnerabilities and malware within container images before deployment.,Optimizing container image size.,Automating the building of container images.,Managing network policies for containers.,B,"Container image scanning tools analyze container images for known vulnerabilities (CVEs), misconfigurations, and malware, helping to secure the software supply chain.",Cloud Native Application Delivery,Security
129,"Which Kubernetes object allows you to group Pods and provide a stable internal DNS name, but does not provide load balancing or exposure?",Headless Service,ClusterIP Service,NodePort Service,LoadBalancer Service,ExternalName Service,A,"A Headless Service (`clusterIP: None`) provides a stable DNS name but, instead of a single cluster IP, returns the IP addresses of the backend Pods directly, allowing clients to connect directly or perform their own load balancing.",Kubernetes Fundamentals,Kubernetes Resources
130,"What is the purpose of a `PriorityClass` in Kubernetes?",To define network priorities for Pods.,To assign a priority to Pods, influencing their scheduling order and preemption behavior.,To prioritize API requests from specific users.,To manage the order of container image pulls.,To determine which Nodes are preferred for scheduling.,B,"A `PriorityClass` allows you to assign a priority to a Pod. Higher priority Pods are scheduled preferentially and can even preempt (evict) lower priority Pods if resources are constrained.",Kubernetes Fundamentals,Scheduling
131,"What is the primary benefit of using `Admission Controllers` beyond basic RBAC for Kubernetes security?",They encrypt all data in transit.,They provide real-time threat detection.,They enable fine-grained policy enforcement at the API request level, allowing for more complex security checks than just who can access what.,They simplify debugging of application issues.,They automate the scaling of Pods.,C,"Admission Controllers provide an extensible mechanism to enforce policies (e.g., disallowing privileged containers, enforcing specific labels) by intercepting and modifying/validating API requests, adding a layer of defense beyond simple authorization.",Container Orchestration,Security
132,"Which Kubernetes pattern is used to run a one-time setup process or data migration alongside an application deployment?",Sidecar,Init Container,Adapter,Ambassador,Job,B,"An `Init Container` is specifically designed for setup tasks that must complete successfully before the main application containers start, suitable for one-time migrations or configuration.",Kubernetes Fundamentals,Pod Lifecycle
133,"What is the primary role of `PromQL` (Prometheus Query Language)?",To define Kubernetes API objects.,To write Go programs for Prometheus exporters.,To query and analyze time-series data stored in Prometheus.,To configure network routes in a cluster.,To define continuous integration pipelines.,C,"PromQL is Prometheus's powerful functional query language that allows users to select and aggregate time series data in real-time.",Cloud Native Observability,Prometheus
134,"What is the primary purpose of a `Pod disruption budget` (PDB)?",To ensure a minimum number of Pod replicas are available during voluntary disruptions.,To limit the total resource usage of a Pod.,To schedule Pods onto specific nodes.,To define network policies for Pods.,To manage secrets for applications.,A,"A PDB specifies the minimum number or percentage of Pods that must be available during voluntary disruptions, preventing applications from going down during node maintenance or updates.",Container Orchestration,Availability
135,"How does a `MutatingAdmissionWebhook` differ from a `ValidatingAdmissionWebhook`?",Mutating webhooks can modify requests, validating webhooks only accept or reject them.,Validating webhooks can deploy new resources, mutating webhooks cannot.,Mutating webhooks run before authentication, validating webhooks run after.,Validating webhooks can access etcd directly, mutating webhooks cannot.,Mutating webhooks are synchronous, validating webhooks are asynchronous.,A,"MutatingAdmissionWebhooks can change the API object request before it is processed, while ValidatingAdmissionWebhooks can only decide whether to admit or deny the request based on its content, without modifying it.",Container Orchestration,Security
136,"In a CI/CD pipeline, what is the significance of `idempotency` in deployment scripts or configurations?",It means the deployment will always fail if executed multiple times.,It ensures that applying the configuration multiple times has the same effect as applying it once, without causing unintended side effects.,It implies that the deployment process is irreversible.,It means the script will automatically roll back on failure.,It is only relevant for initial deployments, not updates.,B,"Idempotency is crucial for CI/CD: applying a deployment configuration repeatedly should consistently result in the same desired state without error or unintended changes, making retries and automated reconciliation reliable.",Cloud Native Application Delivery,Application Delivery Fundamentals
137,"What is the primary benefit of `Declarative APIs` in Kubernetes?",They allow for more complex scripting logic.,They provide faster API response times.,Users define the desired state, and the system continuously works to achieve and maintain it, rather than specifying a series of steps.,They simplify single-container Pod deployments only.,They enable direct manipulation of etcd data.,C,"Declarative APIs focus on *what* the desired state of the system should be, rather than *how* to achieve it. Kubernetes controllers continuously reconcile the current state with this desired state.",Kubernetes Fundamentals,Kubernetes API
138,"What is the primary reason for running multiple instances of the `kube-apiserver` in a highly available Kubernetes cluster?",To distribute workload across worker nodes.,To provide redundancy and load balancing for API requests.,To store more cluster state data.,To accelerate Pod scheduling.,To manage different namespaces independently.,B,"Running multiple `kube-apiserver` instances behind a load balancer ensures high availability of the control plane, so that if one instance fails, API requests can still be served by others.",Kubernetes Fundamentals,Kubernetes Architecture
139,"Which observability signal is best suited for understanding the control flow and latency of a request as it passes through various microservices?",Logs,Metrics,Traces,Events,Alerts,C,"Distributed traces provide an end-to-end view of a request's journey across multiple services, capturing timing, errors, and context at each hop.",Cloud Native Observability,Telemetry & Observability
140,"What is the main advantage of using `Ephemeral Containers` (Alpha feature) in Kubernetes?",They provide persistent storage for Pods.,They run setup tasks before the main container starts.,They allow running temporary containers in an existing Pod for debugging or troubleshooting purposes, sharing the Pod's namespace.,They enable automatic scaling of Pods.,They replace the need for `Init Containers`.,C,"Ephemeral containers are run within an existing Pod's namespace for interactive troubleshooting of a running Pod, without restarting the Pod or modifying its long-running containers.",Kubernetes Fundamentals,Pod Lifecycle
141,"What does `node-problem-detector` typically identify in a Kubernetes cluster?",Issues with application code within Pods.,Problems with the underlying node, such as kernel deadlocks, hardware failures, or network issues.,Misconfigurations in Kubernetes services.,Excessive resource consumption by the control plane.,Security vulnerabilities in container images.,B,"`node-problem-detector` is a daemon that runs on each node and reports system issues (e.g., kernel errors, disk pressure, network unreachability) as NodeConditions or events to the API server.",Cloud Native Observability,Node Management
142,"What is the primary benefit of integrating `external metrics` with `Horizontal Pod Autoscaler` (HPA)?",To scale Pods based on CPU or memory usage only.,To enable scaling based on metrics from systems outside of Kubernetes, such as message queue depth or database connections.,To provide more detailed logs for autoscaling events.,To automatically adjust resource requests and limits for Pods.,To reduce the number of Pod replicas.,B,"External metrics allow HPA to scale workloads based on metrics emitted by external systems that aren't directly related to Kubernetes Pods (e.g., custom business metrics, external queue lengths, IoT data).",Cloud Native Architecture,Autoscaling
143,"What is the primary role of a `Custom Resource Definition` (CRD) in Kubernetes?",To provide persistent storage for applications.,To define custom API objects that extend Kubernetes' capabilities.,To manage network traffic between Pods.,To authenticate users to the API server.,To schedule Pods onto nodes.,B,"CRDs allow users to define their own custom resources, extending the Kubernetes API and enabling the creation of custom controllers (Operators) to manage those resources.",Kubernetes Fundamentals,Kubernetes API
144,"What does it mean for a Pod to be in a `CrashLoopBackOff` state?",The Pod has successfully completed its task and terminated.,The container within the Pod is continuously starting, crashing, and restarting.,The Pod is waiting for a dependent service to become available.,The Pod has been evicted from the node due to resource constraints.,The Pod's network configuration is incorrect.,B,"`CrashLoopBackOff` indicates that a container inside the Pod is starting, running for a short period, and then crashing repeatedly. Kubernetes is applying an exponential back-off delay before retrying.",Kubernetes Fundamentals,Troubleshooting
145,"What is the main purpose of `kube-scheduler` 's `preemption` mechanism?",To ensure high-priority Pods get scheduled quickly by evicting lower-priority Pods if necessary.,To prevent Pods from crashing due to out-of-memory errors.,To evenly distribute Pods across all available nodes.,To prioritize API requests to the scheduler.,To automatically scale the number of nodes in the cluster.,A,"When a higher-priority Pod cannot be scheduled due to insufficient resources, the scheduler can preempt (evict) one or more lower-priority Pods from a node to make room.",Kubernetes Fundamentals,Scheduling
146,"Which Kubernetes networking concept ensures that Pods on different nodes can communicate with each other directly without NAT?",Service Mesh,Ingress Controller,Container Network Interface (CNI) Plugin,LoadBalancer Service,Network Policy,C,"A CNI plugin (e.g., Calico, Flannel, Cilium) implements the Kubernetes networking model, which requires that every Pod gets its own IP address and that Pods on different nodes can communicate directly.",Container Orchestration,Networking
147,"What is the primary function of the `Kubernetes Dashboard` (if installed)?",To manage underlying cloud infrastructure.,To provide a web-based UI for managing and monitoring Kubernetes cluster resources.,To encrypt data in etcd.,To schedule Pods onto nodes.,To store historical metric data.,B,"The Kubernetes Dashboard is a general-purpose, web-based UI for Kubernetes clusters. It allows users to manage and troubleshoot applications, as well as manage the cluster itself.",Kubernetes Fundamentals,Management Tools
148,"In the context of Kubernetes storage, what is the role of a `StorageClass`?",To define how Pods should access volumes.,To specify the type of storage and provisioning mechanism for PersistentVolumes dynamically.,To encrypt data stored in volumes.,To limit the size of PersistentVolumeClaims.,To manually create PersistentVolumes.,B,"A `StorageClass` provides a way for administrators to describe the 'classes' of storage they offer. It enables dynamic provisioning of PersistentVolumes based on user requests for a specific class.",Container Orchestration,Storage
149,"What is the primary benefit of using `ImagePullSecrets` in Kubernetes Pods?",To encrypt container images at rest.,To authenticate to private container registries to pull images.,To reduce the size of container images.,To speed up image downloads from public registries.,To prevent unauthorized pushing of images to registries.,B,"`ImagePullSecrets` are used in Pods to provide credentials (username, password, token) for authenticating with private container image registries, allowing the kubelet to pull images.",Container Orchestration,Security
150,"What is the primary concern when configuring `hostNetwork: true` for a Pod?",It prevents the Pod from accessing external networks.,It makes the Pod's network directly use the host's network namespace, potentially exposing the host's ports and increasing the attack surface.,It restricts the Pod's access to internal cluster services.,It requires manual IP address assignment for the Pod.,It interferes with DNS resolution within the cluster.,B,"When `hostNetwork: true`, a Pod's containers share the network namespace of the host node, meaning they can directly access the host's network interfaces and ports. This can be a security risk and may lead to port conflicts.",Container Orchestration,Security
151,"Which Kubernetes feature allows you to define constraints or policies for Pods that run on any node, such as disallowing privileged containers or requiring read-only root filesystems?",NetworkPolicy,PodSecurityPolicy (deprecated),ResourceQuota,LimitRange,ServiceAccount,B,"`PodSecurityPolicy` was a cluster-level resource that controlled security-sensitive aspects of the Pod specification. It has been deprecated and replaced by Pod Security Admission.",Container Orchestration,Security
152,"What is the main reason for Kubernetes to use `CoreDNS` (or kube-dns) within the cluster?",To provide external DNS resolution for applications outside the cluster.,To manage persistent storage for stateful applications.,To provide DNS-based service discovery for services and Pods within the cluster.,To encrypt network traffic between Pods.,To balance load between external services.,C,"`CoreDNS` (or its predecessor `kube-dns`) provides DNS-based service discovery within the cluster, allowing Pods to find Services by name (e.g., `my-service.my-namespace.svc.cluster.local`).",Kubernetes Fundamentals,Networking
153,"What is the primary role of a `Service Topology` in Kubernetes?",To define the network path between different clusters.,To route traffic to Pods based on their location (e.g., node, zone, region) for latency optimization or cost savings.,To create a mesh network between all Pods.,To monitor network performance across different clouds.,To provide a visualization of the service graph.,B,"Service Topology allows a service to route traffic to endpoints that are ""closer"" to the client Pod, based on node, zone, or region labels, improving latency and potentially reducing inter-zone data transfer costs.",Container Orchestration,Networking
154,"When migrating a monolithic application to microservices, what is a common challenge related to data management?",Simplifying database schemas.,Maintaining transactional consistency across distributed services.,Eliminating the need for any databases.,Reducing data storage costs.,Ensuring all data is stored on a single server.,B,"Maintaining strong transactional consistency (ACID properties) across multiple, independent microservices that each manage their own data store is a significant challenge in microservices design.",Cloud Native Architecture,Microservices
155,"What is the primary benefit of `Sidecar Containers` in a Pod?",To provide a completely isolated environment for each application.,To perform background tasks independently of the main application's lifecycle.,To extend or enhance the functionality of the main application container without modifying its code.,To act as a reverse proxy for incoming external traffic.,To manage persistent storage for the main application.,C,"Sidecar containers run alongside the main application container within the same Pod, sharing the Pod's network and storage. They are used to provide cross-cutting concerns like logging, monitoring, or security agents without altering the core application.",Cloud Native Architecture,Design Patterns
156,"What is the primary purpose of a `Horizontal Pod Autoscaler` (HPA) using `custom metrics`?",To scale Pods based on CPU or memory usage only.,To scale Pods based on application-specific metrics that are not CPU or memory, such as requests per second or queue depth.,To scale the number of worker nodes in the cluster.,To automatically adjust resource requests and limits for Pods.,To define a fixed number of Pod replicas.,B,"HPA can use custom metrics (e.g., from Prometheus) that reflect the application's actual workload, allowing for more precise and responsive autoscaling than just CPU/memory.",Cloud Native Architecture,Autoscaling
157,"What is the primary use case for `externalTrafficPolicy: Local` on a Kubernetes Service of type NodePort or LoadBalancer?",To force traffic to only use the loopback interface.,To ensure that client source IP addresses are preserved when traffic is routed to Pods on the same node.,To distribute traffic evenly across all nodes in the cluster.,To encrypt external traffic to the service.,To prevent external access to the service.,B,"`externalTrafficPolicy: Local` ensures that external traffic is only routed to Pods on the same node where the incoming traffic arrived, preserving the client's source IP and avoiding extra network hops (though it can lead to unbalanced traffic).",Container Orchestration,Networking
158,"What is the main advantage of using `Declarative Deployments` (e.g., Kubernetes YAML) over `Imperative Commands` (e.g., Docker run) in a CI/CD pipeline?",Declarative deployments are faster to write for one-off tasks.,Imperative commands are better for version control.,Declarative deployments define the desired end state, making rollbacks and reconciliation more reliable and automated.,Imperative commands are more readable.,Declarative deployments do not require a container registry.,C,"Declarative configurations describe the *what* (the desired state), allowing the system to handle the *how* (the steps to reach that state), which is crucial for automation, idempotency, and reliable rollbacks in CI/CD.",Cloud Native Application Delivery,Application Delivery Fundamentals
159,"Which Kubernetes security mechanism explicitly states that a Pod should not be able to interact with the API server with elevated privileges unless explicitly granted?",NetworkPolicy,SecurityContext,ServiceAccount with RBAC,PodSecurityPolicy (deprecated),HostPath,C,"By default, Pods get a `default` ServiceAccount. To interact with the API server with specific permissions, a dedicated ServiceAccount is created and granted permissions via RBAC `Role` and `RoleBinding`.",Container Orchestration,Security
160,"What is the primary purpose of `kube-controller-manager`'s `replication-controller`?",To manage the replication of etcd data.,To ensure a specified number of Pod replicas are running and available.,To replicate container images across registries.,To manage replication of PersistentVolumes.,To control the replication of control plane components.,B,"The `replication-controller` (managed by `Deployment`s) ensures that a specified number of Pod replicas defined in a ReplicaSet are always running, replacing failed or terminated Pods.",Kubernetes Fundamentals,Kubernetes Architecture
